node_id,name,type,link_score
E_PER_TURING,艾伦·图灵,PER,0.71711
E_PROD_OBE,大英帝国勋章,PROD,0.668665
E_ORG_HUT8,Hut 8,ORG,0.72505
E_PROD_BOMBE,Bombe,PROD,0.712939
E_PROD_ENIGMA,恩尼格玛密码机,PROD,0.699866
E_PROD_CMI,计算机器和智能,PROD,0.730368
E_PROD_CMT,机器会思考吗,PROD,0.719968
E_PROD_TT,图灵测试,PROD,0.698898
E_PROD_TM,图灵机,PROD,0.709511
E_ORG_GOV_UK,英国政府,ORG,0.679056
E_PER_JULIUS,朱利斯·麦席森·图灵,PER,0.711658
E_PER_ETHEL,Ethel Sara Stoney,PER,0.739556
E_LOC_PADDINGTON,帕丁顿,LOC,0.704856
E_ORG_ST_MICHAEL,St. Michael's,ORG,0.732832
E_ORG_SHERBORNE,舍伯恩学校,ORG,0.699329
E_ORG_CAMBRIDGE_KINGS,剑桥大学国王学院,ORG,0.683846
E_ORG_PRINCETON,普林斯顿大学,ORG,0.687804
E_PER_VON_NEUMANN,冯·诺依曼,PER,0.712804
E_ORG_GCCS,GC&CS,ORG,0.700364
E_PER_NOX,第利温·诺克斯,PER,0.693954
E_ORG_NAVY_UK,英国皇家海军,ORG,0.675043
E_ORG_MI6,军情六处,ORG,0.675675
E_PROD_APC,The Applications of Probability to Cryptography,PROD,0.752376
E_PROD_PSR,Paper on Statistics of Repetitions,PROD,0.749505
E_ORG_GCHQ,GCHQ,ORG,0.722573
E_ORG_NPL,国家物理实验室,ORG,0.689773
E_PROD_ACE,ACE,PROD,0.688417
E_ORG_UOM_CL,曼彻斯特大学计算机实验室,ORG,0.708845
E_PROD_M1,曼彻斯特一号,PROD,0.696758
E_ORG_LANL,新墨西哥州洛斯阿拉莫斯国家实验室,ORG,0.706757
E_PROD_LA_CHESS,洛斯阿拉莫斯象棋,PROD,0.710285
E_PROD_MORPH,形态发生的化学基础,PROD,0.739686
E_PER_BROWN,戈登·布朗,PER,0.671268
E_ORG_DT,每日电讯报,ORG,0.668726
E_ORG_MOJ_UK,英国司法部,ORG,0.673686
E_PER_ELIZABETH2,伊丽莎白二世,PER,0.67216
